title_slug,tags,difficulty
count-valid-paths-in-a-tree,"['Math', 'Dynamic Programming', 'Tree', 'Depth-First Search', 'Number Theory']",Hard
valid-boomerang,"['Array', 'Math', 'Geometry']",Easy
the-maze-iii,"['Array', 'String', 'Depth-First Search', 'Breadth-First Search', 'Graph', 'Heap (Priority Queue)', 'Matrix', 'Shortest Path']",Hard
number-of-ways-to-stay-in-the-same-place-after-some-steps,['Dynamic Programming'],Hard
flatten,[],N/A
string-transformation,"['Math', 'String', 'Dynamic Programming', 'String Matching']",Hard
maximize-total-tastiness-of-purchased-fruits,"['Array', 'Dynamic Programming']",Medium
bulls-and-cows,"['Hash Table', 'String', 'Counting']",Medium
minimize-the-difference-between-target-and-chosen-elements,"['Array', 'Dynamic Programming', 'Matrix']",Medium
longest-palindrome,"['Hash Table', 'String', 'Greedy']",Easy
unique-binary-search-trees-ii,"['Dynamic Programming', 'Backtracking', 'Tree', 'Binary Search Tree', 'Binary Tree']",Medium
maximum-building-height,"['Array', 'Math', 'Sorting']",Hard
get-maximum-in-generated-array,"['Array', 'Simulation']",Easy
number-of-substrings-with-only-1s,"['Math', 'String']",Medium
reverse-linked-list,"['Linked List', 'Recursion']",Easy
minimum-number-of-taps-to-open-to-water-a-garden,"['Array', 'Dynamic Programming', 'Greedy']",Hard
first-letter-to-appear-twice,"['Hash Table', 'String', 'Bit Manipulation', 'Counting']",Easy
longest-subarray-of-1s-after-deleting-one-element,"['Array', 'Dynamic Programming', 'Sliding Window']",Medium
minimum-moves-to-spread-stones-over-grid,"['Array', 'Dynamic Programming', 'Breadth-First Search', 'Matrix']",Medium
minimum-health-to-beat-game,"['Array', 'Greedy']",Medium
online-election,"['Array', 'Hash Table', 'Binary Search', 'Design']",Medium
minimum-time-to-make-array-sum-at-most-x,"['Array', 'Dynamic Programming', 'Sorting']",Hard
maximum-xor-after-operations,"['Array', 'Math', 'Bit Manipulation']",Medium
transform-to-chessboard,"['Array', 'Math', 'Bit Manipulation', 'Matrix']",Hard
binary-tree-longest-consecutive-sequence,"['Tree', 'Depth-First Search', 'Binary Tree']",Medium
binary-tree-preorder-traversal,"['Stack', 'Tree', 'Depth-First Search', 'Binary Tree']",Easy
minimize-max-distance-to-gas-station,"['Array', 'Binary Search']",Hard
make-a-square-with-the-same-color,"['Array', 'Matrix', 'Enumeration']",Easy
minimum-possible-integer-after-at-most-k-adjacent-swaps-on-digits,"['String', 'Greedy', 'Binary Indexed Tree', 'Segment Tree']",Hard
stone-game-v,"['Array', 'Math', 'Dynamic Programming', 'Game Theory']",Hard
find-duplicate-subtrees,"['Hash Table', 'Tree', 'Depth-First Search', 'Binary Tree']",Medium
design-excel-sum-formula,"['Array', 'Graph', 'Design', 'Topological Sort', 'Matrix']",Hard
reverse-prefix-of-word,"['Two Pointers', 'String']",Easy
monotone-increasing-digits,"['Math', 'Greedy']",Medium
find-nearest-right-node-in-binary-tree,"['Tree', 'Breadth-First Search', 'Binary Tree']",Medium
number-of-substrings-with-fixed-ratio,"['Hash Table', 'Math', 'String', 'Prefix Sum']",Medium
maximum-size-of-a-set-after-removals,"['Array', 'Hash Table', 'Greedy']",Medium
find-n-unique-integers-sum-up-to-zero,"['Array', 'Math']",Easy
count-subarrays-with-median-k,"['Array', 'Hash Table', 'Prefix Sum']",Hard
number-of-closed-islands,"['Array', 'Depth-First Search', 'Breadth-First Search', 'Union Find', 'Matrix']",Medium
maximum-number-of-non-overlapping-palindrome-substrings,"['String', 'Dynamic Programming']",Hard
flip-string-to-monotone-increasing,"['String', 'Dynamic Programming']",Medium
roman-to-integer,"['Hash Table', 'Math', 'String']",Easy
minimum-number-of-operations-to-make-array-continuous,"['Array', 'Hash Table', 'Binary Search', 'Sliding Window']",Hard
minimum-time-takes-to-reach-destination-without-drowning,"['Array', 'Breadth-First Search', 'Matrix']",Hard
minimum-amount-of-time-to-collect-garbage,"['Array', 'String', 'Prefix Sum']",Medium
n-repeated-element-in-size-2n-array,"['Array', 'Hash Table']",Easy
special-array-with-x-elements-greater-than-or-equal-x,"['Array', 'Binary Search', 'Sorting']",Easy
constrained-subset-sum,[],N/A
count-alternating-subarrays,"['Array', 'Math']",Medium
spiral-matrix-ii,"['Array', 'Matrix', 'Simulation']",Medium
longest-increasing-subsequence-ii,"['Array', 'Divide and Conquer', 'Dynamic Programming', 'Binary Indexed Tree', 'Segment Tree', 'Queue', 'Monotonic Queue']",Hard
distribute-candies,"['Array', 'Hash Table']",Easy
reveal-cards-in-increasing-order,"['Array', 'Queue', 'Sorting', 'Simulation']",Medium
diagonal-traverse-ii,"['Array', 'Sorting', 'Heap (Priority Queue)']",Medium
time-based-key-value-store,"['Hash Table', 'String', 'Binary Search', 'Design']",Medium
number-of-arithmetic-triplets,"['Array', 'Hash Table', 'Two Pointers', 'Enumeration']",Easy
reordered-power-of-2,"['Hash Table', 'Math', 'Sorting', 'Counting', 'Enumeration']",Medium
reformat-the-string,['String'],Easy
first-unique-character-in-a-string,"['Hash Table', 'String', 'Queue', 'Counting']",Easy
divide-intervals-into-minimum-number-of-groups,"['Array', 'Two Pointers', 'Greedy', 'Sorting', 'Heap (Priority Queue)', 'Prefix Sum']",Medium
construct-binary-search-tree-from-preorder-traversal,"['Array', 'Stack', 'Tree', 'Binary Search Tree', 'Monotonic Stack', 'Binary Tree']",Medium
missing-number-in-arithmetic-progression,"['Array', 'Math']",Easy
sliding-window-median,"['Array', 'Hash Table', 'Sliding Window', 'Heap (Priority Queue)']",Hard
count-substrings-with-only-one-distinct-letter,"['Math', 'String']",Easy
find-the-index-of-permutation,"['Array', 'Binary Search', 'Divide and Conquer', 'Binary Indexed Tree', 'Segment Tree', 'Merge Sort', 'Ordered Set']",Medium
isomorphic-strings,"['Hash Table', 'String']",Easy
minimum-edge-weight-equilibrium-queries-in-a-tree,"['Array', 'Tree', 'Graph', 'Strongly Connected Component']",Hard
max-stack,"['Linked List', 'Stack', 'Design', 'Doubly-Linked List', 'Ordered Set']",Hard
mirror-reflection,"['Math', 'Geometry', 'Number Theory']",Medium
find-maximal-uncovered-ranges,"['Array', 'Sorting']",Medium
robot-room-cleaner,"['Backtracking', 'Interactive']",Hard
find-indices-with-index-and-value-difference-ii,"['Array', 'Two Pointers']",Medium
cracking-the-safe,"['Depth-First Search', 'Graph', 'Eulerian Circuit']",Hard
add-bold-tag-in-string,"['Array', 'Hash Table', 'String', 'Trie', 'String Matching']",Medium
special-positions-in-a-binary-matrix,"['Array', 'Matrix']",Easy
most-profitable-path-in-a-tree,"['Array', 'Tree', 'Depth-First Search', 'Breadth-First Search', 'Graph']",Medium
determine-color-of-a-chessboard-square,"['Math', 'String']",Easy
minimum-operations-to-reduce-x-to-zero,"['Array', 'Hash Table', 'Binary Search', 'Sliding Window', 'Prefix Sum']",Medium
stone-game-iv,"['Math', 'Dynamic Programming', 'Game Theory']",Hard
shortest-impossible-sequence-of-rolls,"['Array', 'Hash Table', 'Greedy']",Hard
goat-latin,['String'],Easy
construct-k-palindrome-strings,"['Hash Table', 'String', 'Greedy', 'Counting']",Medium
minDistance,[],N/A
largest-number-after-digit-swaps-by-parity,"['Sorting', 'Heap (Priority Queue)']",Easy
plus-one-linked-list,"['Linked List', 'Math']",Medium
permutation-sequence,"['Math', 'Recursion']",Hard
delete-columns-to-make-sorted-iii,"['Array', 'String', 'Dynamic Programming']",Hard
design-compressed-string-iterator,"['Array', 'String', 'Design', 'Iterator']",Easy
count-nodes-with-the-highest-score,"['Array', 'Tree', 'Depth-First Search', 'Binary Tree']",Medium
course-schedule-iv,"['Depth-First Search', 'Breadth-First Search', 'Graph', 'Topological Sort']",Medium
